"gene","HR","z","pvalue","lower","upper"
"GSTM3",1.26186204734919,2.43272272087718,0.0149857719378245,1.04623672194656,1.52192691495072
"TNF",0.750751907086636,-2.08992457150182,0.036624575945066,0.573766331084281,0.98233095157239
"PLA2G4D",1.15570937479901,2.02350544205949,0.0430210630749361,1.00455461311281,1.32960830756577
"CD69",0.808583953096819,-1.98714369822999,0.0469064749245435,0.655710822762687,0.997098090360943
