"gene","HR","z","pvalue","lower","upper"
"PAPSS2",1.44904574207456,3.61715784483722,0.000297855678382727,1.18522130579056,1.77159620095071
"VNN3",3.43449650595968,3.19755754816271,0.00138596753603506,1.61213820843991,7.3168455332773
"PLOD3",0.431093190978225,-2.85207856422345,0.00434343641544285,0.241794528209895,0.768591997030076
"PYGB",0.615342805247664,-2.71834197840574,0.00656099871045739,0.433578279532916,0.873306588092863
"ENTPD6",0.465851287812832,-2.71800758082805,0.00656763333612468,0.268546418435082,0.808118848210727
"CD74",0.659872165776107,-2.69773769747565,0.00698124247668699,0.487858088887917,0.892536754199618
"COX8C",1.88766617562718,2.68580037663013,0.00723563041870732,1.18732240888151,3.00110868282494
"CCL5",0.738624340439516,-2.61928058853089,0.00881154367397006,0.588799185589534,0.926573829655459
"G6PC2",1.49440745082773,2.60793640554889,0.00910898756455658,1.10496590504703,2.02110636978829
"PNPLA6",0.46337430126841,-2.58893670089744,0.00962727895402182,0.25883589434243,0.829543922497575
"GSTM3",1.57151370437973,2.58429387758444,0.0097578610822534,1.11539263662854,2.21415781488235
"ATP4B",1.72829281156054,2.5075812528563,0.0121560629833589,1.12691712178449,2.65059069983946
"PMM1",0.471307470386156,-2.47063167358047,0.013487465536182,0.259498632022819,0.85599962477746
"TYMS",1.77724226297539,2.43768631553226,0.014781594650528,1.11929293844243,2.82195120939587
"B3GALNT1",1.41096458329329,2.4207421014743,0.0154888615764091,1.06772587053867,1.86454324114451
"TNFSF14",0.457785695962931,-2.41546606747628,0.0157150866818815,0.242837549431932,0.862995627811698
"SPN",0.678701755009111,-2.38740612548856,0.0169677355029913,0.493735333562078,0.932961530075568
"DGKE",1.68404375834478,2.3422283112933,0.0191689846935058,1.08878491315821,2.60474162136732
"PI4K2A",0.477385401487816,-2.3144508011212,0.0206430070162975,0.255225133204126,0.892924684542781
"GPHN",0.598595219626288,-2.30137127338352,0.0213706542247327,0.386659478940699,0.92669714949468
"HS3ST3A1",1.34454627357298,2.29871369709965,0.0215212022303977,1.04459406246982,1.73062890813743
"TNFRSF9",0.642852943355678,-2.28440985401601,0.0223474549893354,0.440024069503163,0.9391756847476
"ACHE",0.518695904971118,-2.27535808928287,0.0228844573724009,0.294674404611942,0.913026165907127
"CCL4",0.645837451289228,-2.27131540075073,0.0231278915858637,0.442868425033852,0.941828294613426
"MAT2A",2.1979318906802,2.26570713025367,0.0234693206919522,1.11212269205335,4.34385938762705
"DNMT3B",1.64357485913277,2.23381344554545,0.0254953504859394,1.06280659160889,2.54170263799737
"ST6GAL2",1.27735420690851,2.21763939901658,0.0265794292721529,1.02885149569742,1.58587879468538
"GSTA4",1.48449962413868,2.21292426849395,0.026902867240095,1.0461968087123,2.10642884370898
"UGT2B11",5.72634270470757,2.20966516841453,0.0271284088331211,1.21798862561695,26.922255333171
"CHKA",1.95973284363192,2.20300436994712,0.0275944406400583,1.0770498745628,3.56580777651417
"PDCD1",0.668559761407684,-2.19801686353447,0.0279479042328902,0.466894104148942,0.957330903520924
"CSF1",0.711511538052346,-2.18425449868709,0.028943552269477,0.524255039686897,0.965653413811652
